Timestamp,Age ,Gender,Educational Background,"Do you regularly use AI tools (e.g., ChatGPT, Grammarly)","If yes, how often?",What tasks do you use AI for? ,"On a scale of 1–5, how dependent do you feel on AI?","Without using AI, write a paragraph :
""If the internet disappeared tomorrow, how would your life change?""
Please write without AI assistance. This helps us measure natural creativity and mental effort.",Were you aware that AI could generate write-ups?,How mentally tiring was the task?,How confident are you in your originality?,Were you tempted to use AI while writing?,Do you feel AI has reduced your own creativity?
2025/07/25 10:54:05 AM GMT+5:30,47,Male,Postgraduate / PhD,Yes,Multiple times a day,Writing;Research;Coding;Brainstorming,4,"The life will go to good old days when the work was only about producing output which were tangible. The work culture is going to change where the research , education , academics and other forms of jobs/service will be done only in physical mode. We will again have friends in physical format rather than the ones we have over FB , Instagram etc. rather than visiting the places online , we will start going to the places for real. Online shopping will go and visit to groceery stores, markets will flow again. Banks and Post offices will be flooded with people again . Transactions will be done with actual currency notes. So it has its own advantages and disadvantages. ",,3,,No,Maybe
2025/07/25 11:19:06 AM GMT+5:30,19,Male,Undergraduate,Yes,Multiple times a day,Research;Coding;Brainstorming,3,"I cannot do anything without internet, these days, if internet stops, the life stops. We need internet for everything these days. We cannot communicate to people without internet. We need internet even for learning things, to read information or search online, we need to message people etc. I will most likely do nothing without the internet. I cannot study without internet, play guitar without internet, go to gym without internet, watch movies without internet, or I need to find information, I need Wikipedia, there is not enough storage to keep encyclopedias at home. I need internet to book cab, to register something online, to apply somewhere online. I need internet to research my assignments or create PowerPoint presentation. Without internet, everything is nearly impossible. And lastly, social media is the source of entertainment and information. and even to listen music, we need internet.",,1,10,Yes,yes
2025/07/25 2:36:57 PM GMT+5:30,19,Female,Graduate,Yes,Once a day,Writing;Research;Coding,3,"If the internet were to disappear tomorrow, the sky would be bluer, the flowers would finally give off a fragrance and I would see the world a bit better. Internet is an essential part of our daily lives, one such that without it today I would definitely feel handicapped. Yet I can’t help but ponder how significantly my lifestyle would change if it becomes non-existential. Maybe i would devote more time to things i dont get time for or to things i gave up on completely. But maybe i would get bored out of my mind. Maybe i would be more creative, energetic, and lively. But then again maybe, things would get rather complicated than getting simpler just due to the fact that now i am used to the comfort of getting things one tap away. All in all, the idea of internet not being anymore is a hypothetical one consider how fast paced we race towards technology and new developments everyday. It is still an interesting question to wonder about, “what was life like before it ever existed? How was it different? And how different it will be after when it is gone” If we think about it, the future generations are going yo grow up with AI and maybe one day they will write a paragraph on how life would be if AI dissappeared. They will wonder how we managed it, but they wouldnt be able to imagine their own world without it. Or maybe they would struggle to write the paragraph itself because it would be forgotten we could write too, that we are capable of efforts too without asking a machine for every small detail. And yet you cant blame the machine that was invented to bring us that confort in the very first place.",yes,6,9,Yes,yes
2025/07/25 3:00:56 PM GMT+5:30,14,Female,High school or below,Yes,Once a day,Writing;Coding,2,"If the internet disappeared tomorrow, my life would not change much. Sure, the math questions I can't solve will be harder but I will brainstorm more and be even more creative.",yes,8,10,No,yes
2025/07/25 5:42:56 PM GMT+5:30,20,Male,Graduate,Yes,Multiple times a day,Writing;Research;Coding;Brainstorming,3,If internet disappeared tomorrow I will not be able to do my daily chores that basicallly includes attending my online training course and also my daily phone usage  will get a steep  decrease and I guess my life would really get a sense of boredom,yes,4,8,No,yes
2025/07/25 7:49:13 PM GMT+5:30,21,Female,Undergraduate,Yes,A few times a week,Brainstorming,3,"Completely different lifestyle, would be focused more onto the real life activities than spending time on screens.",yes,5,7,No,no
2025/07/26 9:04:43 AM GMT+5:30,21,Female,Undergraduate,Yes,Multiple times a day,Writing;Research;Coding,4,"If internet disappears, life would be a lot at peace, lots of inner reflection, people would actually be with their thoughts and it would encourage creativity which in today’s time most of us have lost. Some of the most creative minds in schools and now just Gpt dependent in their colleges. For me personally, I’d get more time to read proper books than just summaries, ofc it would take time at first but people existed before who didn’t use internet and invented great things. Overall people would be more self aware and grounded and would have to rely on actual work for recognition rather than just being controversial on the internet. ",yes,1,10,No,yes
2025/07/26 10:23:15 AM GMT+5:30,42,Female,Postgraduate / PhD,Yes,Multiple times a day,Research,3,Every research is based on primary data and thus will take ore time .,No,5,8,Yes,yes
2025/07/26 11:49:13 AM GMT+5:30,20,Male,Undergraduate,Yes,A few times a week,Writing;Research,4,"Most of the technology is based on AI. Things like google, chat gpt and others AI apps can help young peers to go through their subjects if internet disappears we will be completely numb as most of the people use their internet to access things globally markets will shut down whole world will go 1000 year back.",yes,10,10,No,maybe
2025/07/26 11:51:28 AM GMT+5:30,53,Female,Graduate,Yes,Multiple times a day,Writing,4,It's very difficult to write 100-150 words a paragraph without using AI. You can write simple sentences on it. ,yes,8,3,Yes,yes
2025/07/26 12:07:08 PM GMT+5:30,19,Female,Undergraduate,Yes,A few times a week,Research,3,"Internet has become an extremely important part of our day-to-day lives. Be it for study purposes, working purposes or general entertainment. We use internet in all these aspects of our life. We have made ourselves very dependent on it. If the internet were to disappear it would lead a lot of problems. Our connection with our distant friends and family would be lost considering social media is the thing the binds us nowadays. The assignments which were done in few hours would take days to complete. Resource material for study would decrease a lot considering I use most of that material which is available on internet. And many such things would be observed. So imagining a life without internet seems unrealistic.",yes,6,4,Yes,no
2025/07/26 12:20:03 PM GMT+5:30,19,Male,Undergraduate,No,A few times a week,Brainstorming,1,"I'll advise you if you need more responses, keep it short, people won't fill out your forms for 100 words. They simply dont have time.",yes,1,9,No,maybe
2025/07/26 12:27:33 PM GMT+5:30,19,Female,Undergraduate,Yes,Multiple times a day,Writing;Research;Coding,3,"If internet disappeared Tom... It hd both advantages and disadvantages. 
Our lyf is totally change... All our digital work stops... Online payments then manually. Social media totally gone, one side it's tym saving.. Most of time we wasted on scrolling funny memes, otherside our touch with others is totally gone.. If we are not connected...tym consuming= we use letters to send message on far places. Study=  online coaching from abroad is totally vanish... We need do daily up down for far coachings.. Study source reduce... Because updated re-search are not easily available on library's..because we need review some latest research papers to continue this...conclusion...if internet disappeared lyf is difficult. ",yes,1,10,No,yes
2025/07/26 12:31:29 PM GMT+5:30,20,Female,Undergraduate,Yes,Multiple times a day,Coding;Brainstorming,3,"Life would be  a choas for a while as we are dependent on it for everyday activity. But after a while when we sit in chaos, we start reflecting on it and we start observing the small things that make life life.",yes,8,6,Yes,yes
2025/07/26 12:31:48 PM GMT+5:30,21,Female,Undergraduate,Yes,Multiple times a day,Coding;Brainstorming,4,"If the internet vanished tomorrow, I’d fully spiral, just vibes and silence. Spotify gone. YouTube gone. Chaos.  Sure, maybe I’d touch grass or whatever, but I’d be pissed about it the entire time.
And since, i’m studying tech, not basket weaving. So without the internet?  that takes  forever.Networking? Gone. Keeping up with new tech or skills? Basically impossible. It’s not just about convenience—it’s my entire damn career path. Sure, maybe I’d adapt, but it’d be hard.",yes,5,9,Yes,yes
2025/07/26 12:34:28 PM GMT+5:30,44,Male,Postgraduate / PhD,No,Rarely,Writing,1,"My education system has provided me enough knowledge and skills about not being dependent too much on internet.Tge additional knowledge required freelyvib librAry books etc.,though internet really helps,the human creativity and application of knowledge is still relevant ",yes,4,7,No,yes
2025/07/26 12:35:25 PM GMT+5:30,20,Female,Undergraduate,Yes,Multiple times a day,Writing;Research;Coding;Brainstorming,4,I feel that it will take a little while to get back to thinking everything by myself like we were doing just a couple years back and without help of AI tools yet there might still be a lack of widen horizon of thinking ,No,1,5,No,yes
2025/07/26 12:38:35 PM GMT+5:30,21,Male,Undergraduate,Yes,Multiple times a day,Writing;Coding,3,"It would be really great ,all those hectic and eye strain will reduce although it will negatively impact my workflow but ,screen time will reduce and brain and eyes will feel more relaxed and calm . It would be great i will not more lonely and separated. Real interaction and real life meetings will increase , so yeah i am in favour of internet dissappear.However, the time required for works in every field will increase so much as internet is accessible anywhere and can be used anytime ,it is almost used in every field even the non-tech fields today, at the end i want to say i would be more happy and healthy if the internet disappears.",yes,2,10,No,yes
2025/07/26 12:47:48 PM GMT+5:30,21,Male,Graduate,Yes,Multiple times a day,Writing;Research;Brainstorming,3,"Pta nahi boss kaise krenge
Abhi toh dimaag chalna banda hogya hae AI ke karan",yes,6,7,Yes,yes
2025/07/26 1:01:57 PM GMT+5:30,19,Male,Undergraduate,Yes,Multiple times a day,Writing;Coding;Brainstorming,3,"This would have a huge impact on anyone in todays generation . We talk to our friends more often on internet than meeting physically . We consume a lot of content either educational , motivational or studies from the Internet . Most of people follow e books or notes rather then studying from bulky books ",yes,1,10,No,Maybe
2025/07/26 1:09:44 PM GMT+5:30,20,Male,Graduate,Yes,Multiple times a day,Research;Coding;Brainstorming,3,Life will change and tend to become like the old stories we read in books . ,yes,8,10,No,no
2025/07/26 2:09:39 PM GMT+5:30,20,Male,High school or below,Yes,Multiple times a day,Writing;Research;Coding;Brainstorming,3,"If the internet suddenly disappeared, the world would be a very different place. We would have to find new ways to communicate, learn, work, and entertain ourselves.
Without the internet, we would have to rely on traditional methods of communication, such as phone calls, letters, and face-to-face conversations. This would make it more difficult to stay in touch with friends and family who live far away. It would also make it more difficult to do business, as many companies now rely on the internet to communicate with customers and suppliers.
Without the internet, we would have to find new ways to learn. We could go to libraries or bookstores to find books and other resources. We could also take classes at local schools or community centers. However, it would be more difficult to access the vast amount of information that is available online.
Without the internet, many people would be unable to work. This is because many jobs now require employees to have access to the internet. For example, many people work in online customer service, sales, or marketing. Others work as programmers, web designers, or social media managers.
If the internet suddenly disappeared, it would take some time for people to adjust. However, humans are adaptable creatures and we would eventually find ways to cope. We would find new ways to communicate, learn, work, and entertain ourselves.
People would start using traditional methods of communication, such as phone calls, letters, and face-to-face conversations.
People would go to libraries and bookstores to find books and other resources.
People would find new ways to entertain themselves, such as watching TV, listening to the radio, reading books, going to the movies, concerts, or sporting events.
It would be a challenging time, but people would eventually adapt and find ways to thrive in a world without the internet.",yes,5,8,Yes,Maybe
2025/07/26 2:31:26 PM GMT+5:30,19,Female,Undergraduate,Yes,A few times a week,Research,3,"If internet disappears tomorrow, things might be slower because of us being used to use it several times a day. But, I will manage it by shifting my focus towards the things i usually pay zero attention to. I believe without internet it would be more peaceful and present in our real lives and nothing’s more good than that.",yes,5,8,No,yes
2025/07/26 3:34:39 PM GMT+5:30,21,Male,Graduate,Yes,A few times a week,Research,3,Very less to minimal changes ,yes,3,8,No,no
2025/07/26 4:22:46 PM GMT+5:30,21,Male,Undergraduate,Yes,Multiple times a day,Writing;Research,3,If the internet disappeared tomorrow my life would be very different as all my work depends on the internet and I won’t be able to talk to my friends and family on video which would be very difficult for me,No,10,10,Yes,no
2025/07/26 4:36:26 PM GMT+5:30,21,Male,Undergraduate,Yes,Multiple times a day,Research,3,"- I will make the maximum use of internet today.
- I will wait for day after tomorrow.
- All my fake IDs (angel priya) will be of no use.
- Days will be easier but nights would be so long.
- Bluetooth era will come again (nostalgia).",No,10,10,No,Maybe
2025/07/26 9:37:47 PM GMT+5:30,20,Female,Undergraduate,Yes,Multiple times a day,Research,3,Intenet plays crucial role and i feel if it disappears tomorrow it can affect half of our youth there are cons and prons for this cons are most of scams will be reduced and prons are this will affect somehow in studies researches which we feel ai has made easier for everybody who has its access. My life will be like both i am dependent on this just for my work not entirely but yea so it will affect me but less.,yes,6,8,Yes,Maybe
2025/07/27 11:10:31 AM GMT+5:30,20,Male,Undergraduate,Yes,Multiple times a day,Writing;Research;Coding;Brainstorming,3,"In the age of internet everything is on your fingertips which is really convenient but the major blessings and curse is hyperconnectivity, We are connected with each other all the time and that is exactly what is making it tough for us to be creative on our own. History's most Creative People have gone through Boredom to create something truly magnificent yet Boredom is the most evil things seen today in this day and age because of Internet. Internet has truly provided us with huge opportunities in life but it's the very thing that is the cause of a lot of problems in our life, but again, Internet is just a tool, just like weapons, used by the wrong person, it is self destructive, Used by the right person, it is a blessing, so if it disappears tomorrow, a Hyper connectivity would go away, So I will connect with more people and be more creative in my life but convenience would also go away and life would become a lot slower and slower is the exact word, My generation Hates.",yes,5,7,Yes,yes
2025/07/30 10:10:55 AM GMT+5:30,26,Male,Graduate,Yes,A few times a week,Writing;Research;Coding;Brainstorming,3,"If the internet disappeared tomorrow, my life would change drastically. I rely on it daily for work, communication, entertainment, and even basic tasks like checking the weather or navigating directions. Without it, I’d have to return to more traditional methods—using paper maps, making phone calls, and visiting libraries for information. My work, which depends on online tools and email, would become slower and more limited, requiring face-to-face meetings or phone calls. Staying in touch with friends and family, especially those far away, would become more challenging. I'd likely spend more time outdoors or reading books, but the sudden shift would be overwhelming. Services like online banking, shopping, and news updates would disappear, creating inconveniences in everyday life. Although I might eventually adapt, the loss of instant access to information and global connection would leave a significant void and require a complete restructuring of how I live and interact with the world.",yes,8,4,Yes,yes
2025/07/30 10:12:30 AM GMT+5:30,22,Female,Undergraduate,No,Rarely,,1,"
If the internet disappeared tomorrow, my daily routine would be turned upside down. I’d wake up without checking emails, social media, or the news on my phone. I’d no longer be able to stream music while getting ready or look up recipes while cooking. At work, collaboration would become more difficult without shared documents or instant messaging. I’d have to rely on physical resources like books, newspapers, and face-to-face conversations to gather information. Planning travel or making appointments would take much more effort. Shopping for anything beyond local necessities would be a challenge. 
",yes,10,6,Yes,yes
2025/07/30 10:13:55 AM GMT+5:30,28,Male,Undergraduate,Yes,Multiple times a day,Writing;Research;Coding,5,"If the internet vanished overnight, I think the silence would be the first thing I’d notice. No buzzing notifications, no endless scrolling. I’d probably feel anxious at first—cut off from news, schedules, and social updates. But gradually, I imagine a sense of calm settling in. I'd rediscover books, write letters, and spend more time with people in person. Creativity might come easier without constant distraction. It would be inconvenient for many things, sure—but maybe life would feel more present, less rushed. I think I’d miss it, but I also think I’d be okay without it.",No,9,7,Yes,Maybe
2025/07/30 10:14:43 AM GMT+5:30,35,Male,Graduate,No,,,1,"Losing the internet would feel like stepping into a different century. I’d have to rethink everything: how I learn, how I communicate, and even how I relax. Online classes, job portals, video calls—they’d all vanish. I’d miss my favorite podcasts and the ability to look up anything on a whim. But perhaps I’d finally finish those unread books and have deeper conversations. My social world would shrink, but maybe it would become more meaningful. I’d need to be more resourceful, and likely more patient. Life would slow down dramatically, forcing me to live more deliberately, one moment at a time.",No,6,8,No,yes
2025/07/30 10:15:34 AM GMT+5:30,26,Female,Graduate,Yes,Multiple times a day,Writing;Research;Coding;Brainstorming,4,"If the internet disappeared tomorrow, I’d lose my digital second brain. My calendar, notes, contacts, and even memories live online. I'd have to print things, write more, and organize life with sticky notes again. It would also disrupt how I learn—no tutorials, no quick searches. I’d need to build more human networks for support and information. Work would become slower and less efficient. On the plus side, I might sleep better without screens and focus more on hobbies like painting or cooking. It would be frustrating at first, but I believe I’d gradually rediscover a more grounded way of living.",yes,10,3,Yes,yes
2025/07/30 10:16:21 AM GMT+5:30,27,Female,Graduate,No,Rarely,Writing;Research,2,"Without the internet, my sense of connection to the wider world would vanish. I follow global events, culture, and even niche interests online. Suddenly, those communities would be out of reach. I'd feel isolated at first—especially without messaging apps or video calls. But maybe it would push me to engage more locally: visit the library, attend community events, or talk to neighbors. It would feel like shrinking my world but also deepening it. I’d probably learn to be more independent, too—relying less on Google and more on my own problem-solving. It’d be a radical shift, but possibly a meaningful one.",yes,6,9,Yes,yes
2025/07/30 10:20:15 AM GMT+5:30,52,Female,Postgraduate / PhD,No,Rarely,Writing,5,I feel  half of life stops if internet disappeared ,yes,5,10,Yes,no
2025/07/30 10:24:46 AM GMT+5:30,52,Female,Postgraduate / PhD,Yes,A few times a week,Writing,5,I think life becomes more difficult and hard if internet disappeared ,yes,7,5,Yes,no
2025/07/30 10:34:01 AM GMT+5:30,25,Male,Graduate,Yes,Multiple times a day,Writing;Research;Coding;Brainstorming,4,"I would feel lost without the internet, No ways to chat with friends, no instant news or updates, and no quick answers for any of my questions. Internet is now an essential part of our life. But, life goes on so I would try to mend myself to the new lifestyle without the internet",yes,2,9,No,Maybe
2025/07/30 11:17:47 AM GMT+5:30,21,Male,Graduate,Yes,A few times a week,Research,3,"If the internet disappeared tomorrow, life will get so unexpected and unreal for some time but with the time the life will get adopt that too.",yes,9,10,Yes,no
2025/07/30 11:20:06 AM GMT+5:30,23,Female,Postgraduate / PhD,Yes,Once a day,Writing;Research,3,"If internet disappeared tomorrow, my life would be affected significantly. I am a researcher who depends on the use of internet for writing and reading a lot of research published across the globe, which will reduce significantly as I will have to depend on libraries and published magazines, which may not be as readily available as it is with the presence of internet. One of the many activities I do in my day is doomscrolling LinkedIn to stay aware of the recent positions, which I will have to look upon for in the newspapers for hours if the internet disappears. So, overall, many of us deeply rely on the use of Internet and our life can become unimaginable if it disappears.",yes,6,10,Yes,no
2025/07/30 11:24:49 AM GMT+5:30,23,Male,Graduate,Yes,Multiple times a day,Coding,4,"It has both pros and cons, pros will be people will get close to nature and start thinking of themself and cons are it will take up the jobs and rise to unstable financial conditions.",yes,9,10,Yes,yes
2025/07/30 11:31:42 AM GMT+5:30,21,Male,Undergraduate,Yes,Once a day,Writing;Research;Brainstorming,3,My life would be boring. There will be no reels to watch. There will be peace all around. I wouldn’t be able to do my upi payments. My parents are in other city I will not be able to vedio call them I will also not be able to recieve payments from my dad we will have to use cash which is difficult to handle ,yes,3,10,No,yes
2025/07/30 12:51:13 PM GMT+5:30,21,Female,Undergraduate,Yes,A few times a week,Research,3,"Internet has become such a significant part of our lives that if it were to disappear tomorrow, it will make the normal life very difficult for me especially when it comes to online payments and searching the web to look for some information. However it will do some good for as well such as scrolling addiction will come to a stop and rather than brainrot, I will actually have time and energy to go into nature which would be beneficial for my health as well as career. So overall if will not be as bad as I think. I atleast hope so.",yes,1,7,No,no
2025/07/30 4:43:29 PM GMT+5:30,25,Female,Graduate,Yes,Multiple times a day,Writing,5,I have to write many emails so productivity would get low as then i have to check many times about punctuation error etc,yes,2,7,No,yes
2025/07/30 6:15:43 PM GMT+5:30,47,Female,Postgraduate / PhD,No,A few times a week,Research,1,Nothing ,yes,3,10,No,Maybe
2025/07/30 7:42:22 PM GMT+5:30,21,Female,Graduate,Yes,Multiple times a day,Writing;Research,4,"If the internet vanished tomorrow, my routine would be severely disrupted. Communication, work, and access to information would become slower and more limited. Daily tasks would demand greater effort, and global connectivity would shrink. Though it might foster mindfulness and deeper personal interactions, the transition would be abrupt and challenging.",yes,7,7,Yes,yes
2025/07/31 10:14:25 PM GMT+5:30,43,Female,Postgraduate / PhD,Yes,Rarely,Research,1,It will definitely have a big impact on my life ,yes,10,10,Yes,Maybe
2025/08/01 8:01:06 PM GMT+5:30,20,Male,Graduate,Yes,Multiple times a day,Brainstorming,3,If internet disappeared tomorrow then I would 1 leave a peaceful life in my village and will keep my loved ones close and will cook by myself and leave by myself no internet nothing bullshit no job I will do business,yes,1,9,Yes,yes
2025/08/26 2:49:27 PM GMT+5:30,21,Male,Undergraduate,Yes,Multiple times a day,Writing;Research;Coding;Brainstorming,4,"If internet would disappear things would be difficult for a bit of time , but with time humans will start to think like they used to think",yes,3,10,Yes,no
2025/08/27 7:59:06 PM GMT+5:30,21,Male,Undergraduate,No,A few times a week,Brainstorming,3,I cant,No,3,3,No,yes
2025/08/27 8:03:37 PM GMT+5:30,21,Female,Undergraduate,Yes,A few times a week,Coding,3,"The thought itself is quite hard to fathom. I believe we are so dependent on the internet currently that atleast 80% of our social lives as well as networking depends on it. I also think due to the availability of the internet it has been easier for us to become aware of current affairs. However, if the internet was to go, i do believe that life might just get a lot greener and healthier.",yes,2,10,No,yes
2025/08/27 8:06:55 PM GMT+5:30,18,Female,Undergraduate,Yes,Multiple times a day,Writing;Research;Coding;Brainstorming,3,...jhahb,yes,10,5,No,yes
2025/08/27 8:08:06 PM GMT+5:30,19,Male,Undergraduate,Yes,Multiple times a day,Writing;Research;Coding;Brainstorming,3,"My life would switch upside down. Right now everything I do during the day is linked to the internet in one way or the other. Be it be online education, online entertainment, games, connection with my friends and close ones and the list goes on. So it'll be a new experience. Of course adapting to the same will take time but I believe it will take the world towards a better future",yes,4,10,No,yes
2025/08/27 8:11:56 PM GMT+5:30,21,Female,Undergraduate,Yes,Multiple times a day,Writing;Coding,4,It will be kinda difficult as i rely a lot on AI for finding out solutions to the problems realted to my subjects. But eventually it will get better as AI can never be more intelligent than Human brain. It will lead to more thoughtful and creative mind with time.,yes,2,8,Yes,yes
2025/08/27 8:24:59 PM GMT+5:30,19,Female,Undergraduate,Yes,Multiple times a day,Writing;Research;Coding;Brainstorming,4,We will start you our own mind,yes,4,5,No,yes
2025/08/27 10:48:08 PM GMT+5:30,19,Male,Undergraduate,Yes,Multiple times a day,Writing;Research;Coding;Brainstorming,3,K,yes,3,9,Yes,yes
2025/08/29 12:55:12 PM GMT+5:30,20,Female,Undergraduate,Yes,Once a day,Coding,3,"If the internet disappeared tomorrow, it would be a sudden change, difficult to digest but if we look at the bigger picture life would become alot more peaceful and serene. People would go back to the traditional ways connecting with nature and the people around them which is the conventional way. ",yes,4,10,No,yes
2025/09/04 8:23:41 AM GMT+5:30,39,Male,Postgraduate / PhD,No,Rarely,Brainstorming,2,"As we frequently use web or other applications daily, so without internet a deep impact on emotions may impact.",yes,1,5,No,yes
2025/10/15 2:23:48 PM GMT+5:30,18,Female,Undergraduate,Yes,Once a day,Brainstorming,3,People will experience the ancient life .,yes,1,8,No,no
2025/11/02 11:54:33 PM GMT+5:30,23,Female,Graduate,No,A few times a week,Writing,2,"It would be tough without internet because we are totally dependent on it due to our daily tasks. However, not on AI apps.",No,2,10,No,Maybe
2025/11/02 11:57:10 PM GMT+5:30,28,Male,Graduate,Yes,Multiple times a day,Writing;Research;Brainstorming,3,Death,No,4,7,Yes,Maybe
2025/11/03 12:18:35 AM GMT+5:30,20,Male,Undergraduate,Yes,Multiple times a day,Writing;Coding;search engine,4,"If the internet were to disappear tomorrow i really think my life would drastically change, since i really am just a full time internet scroller. i would have to find new ways to replace the time i spend doomscrolling and basically reinvent myself. All the course work that i do are solely dependent on the internet so that will be a set back. I would basically have no way of knowing what is happening in another person's life ,that's boring. My day to day life is completely dependent on the internet so i think my life would change significantly.",yes,8,6,Yes,no
2025/11/03 12:20:19 AM GMT+5:30,30,Female,Undergraduate,Yes,Rarely,Brainstorming,2,i think honestly my life would become easier and simpler. i’d be better at not picking up my phone so much and actually get to work without any distractions. my attention span would probably get better and i’d be happier in life. ,No,1,8,No,no
2025/11/03 12:38:00 AM GMT+5:30,18,Female,Undergraduate,Yes,Multiple times a day,Research;Understanding my study material + research,2,"If the internet disappeared tomorrow, my life definitely wont be the same . Most of my life whether social or educational is highly dependant on internet so ofcourse that would be the first area that would be effected . I honestly find it really hard to imagine a life without internet but i somehow believe it would be calmer . ",No,1,2,Yes,Maybe
2025/11/03 12:43:05 AM GMT+5:30,20,Female,Undergraduate,Yes,A few times a week,Research,3,"In this fast paced age of ever changing technology one can hardly imagine a life without the internet. Our lives have become so dependable on the internet that we use it even for the smallest thing. So to imagine a life without it is nearly impossible, one will suddenly feel lost and all the things which run because of the internet will loose their utility. It is because of the internet that we have been able to change the world into a global village therefore if the internet isn't there, not just our personal lives but the whole world will come to a standstill.",yes,3,6,Yes,yes
2025/11/03 1:56:44 AM GMT+5:30,21,Female,Undergraduate,No,A few times a week,Writing;Research;Brainstorming,2,No,yes,5,7,No,yes
2025/11/03 2:32:48 AM GMT+5:30,21,Male,Graduate,Yes,A few times a week,Research;Brainstorming,2,It would be difficult as I live far from my family and without internet I wont be able to talk to them. ,yes,1,10,No,yes
2025/11/03 6:53:47 AM GMT+5:30,45,Female,Postgraduate / PhD,Yes,Once a day,,2,no,yes,4,8,No,Maybe
2025/11/03 8:18:41 AM GMT+5:30,21,Male,Postgraduate / PhD,Yes,Multiple times a day,Research;Coding;Brainstorming,3,"There would be difficulties ar first, but with time it will be solved",No,4,7,No,no
2025/11/03 10:01:51 AM GMT+5:30,19,Female,Undergraduate,Yes,A few times a week,Research;Brainstorming,2,"My life would become a little different from what it is now. The evolution of technology has made everyone a little dependent on internet for browsing stuff. Sometimes I do become lethargic and depend on AI for completing tasks that require brainstorming. Vanishing of internet, will encourage me to use more of my own ideas and have individuality over my work. However, life would become a little difficult without the existence of internet. ",yes,1,10,No,maybe
2025/11/03 10:10:30 AM GMT+5:30,19,Female,Undergraduate,Yes,A few times a week,Writing;Research;Brainstorming;,3,It is unimaginable. ,yes,5,8,Yes,yes
2025/11/03 11:04:13 AM GMT+5:30,20,Male,Undergraduate,Yes,A few times a week,Writing,2,"It would be a drastic change as I am very dependent on the internet for versus things which as study’s, entertainment, and many other aspects ",yes,1,8,No,no
2025/11/03 1:07:31 PM GMT+5:30,21,Male,Graduate,Yes,Multiple times a day,Writing;Research,3,I will become cobra,yes,2,8,Yes,maybe
2025/11/03 3:30:58 PM GMT+5:30,25,Male,Undergraduate,Yes,A few times a week,Information ,4,That’s gonna be a drastic change would be very difficult to learn lots of information ,yes,8,8,Yes,no
2025/11/03 6:13:02 PM GMT+5:30,27,Male,Graduate,Yes,Once a day,"Writing;Research;Brainstorming;Deep search, Sourcing, Emails, Odd Tasks.",2,"Communication, Information sharing, Daily life Conveniences, Every aspect of our lives would be changed beyond recognition.

The internet has over the years has long since evolved past its nature as a tool, It is part of our Global culture.

A world without the Internet is a world unrecognizeable",yes,2,10,Yes,yes
