Timestamp,Age ,Gender,Educational Background,"Do you regularly use AI tools (e.g., ChatGPT, Grammarly)","If yes, how often?",What tasks do you use AI for? ,"On a scale of 1–5, how dependent do you feel on AI?","Without using AI, write a paragraph :
""If the internet disappeared tomorrow, how would your life change?""
Please write without AI assistance. This helps us measure natural creativity and mental effort.",Were you aware that AI could generate write-ups?,How mentally tiring was the task?,How confident are you in your originality?,Were you tempted to use AI while writing?,Do you feel AI has reduced your own creativity?
7/25/2025 4:27:41 PM GMT+5:30,18,Female,Undergraduate,Yes,Multiple times a day,Writing;Research,3,"If the internet disappeared, it would definitely change everyone's life in both negative and positive ways. Disconnect from social world resulting to isolated environment where people do not have means to share information to large scale. This situation will totally degrade the value of technologies we are using with internet facility. Positive aspect is that people waste a lot of time using internet for exploring outer world, disappeared internet facility gives more time to explore inner world by connecting to our true being and focusing on self-growth.  ",yes,9,8,No,Yes
7/25/2025 1:18:26 PM GMT+5:30,44,Female,Postgraduate / PhD,Yes,Once a day,Writing;Research;Brainstorming,2,Cannot write it properly ,yes,2,10,No,No
7/25/2025 12:03:06 PM GMT+5:30,19,Male,Undergraduate,Yes,Once a day,Research,3,i think honestly my life would become easier and simpler. i’d be better at not picking up my phone so much and actually get to work without any distractions. my attention span would probably get better and i’d be happier in life. ,yes,3,8,No,Yes
7/25/2025 3:39:40 PM GMT+5:30,21,Male,Undergraduate,Yes,Rarely,Writing;Research;Brainstorming,2,"If the internet disappeared tomorrow, the first thing that would change in my life is ________.
I usually use the internet for ________, so my daily routine would become ________.
Studying or doing homework would be ________ because ________.
I would communicate with friends and family by ________ instead of ________.
At first I would feel ________, but later I might ________.
One good/bad effect of this change would be ________.",No,5,8,Yes,Yes
7/25/2025 12:19:39 PM GMT+5:30,22,Male,Graduate,Yes,Rarely,Research,4,"Losing the internet would feel like stepping into a different century. I’d have to rethink everything: how I learn, how I communicate, and even how I relax. Online classes, job portals, video calls—they’d all vanish. I’d miss my favorite podcasts and the ability to look up anything on a whim. But perhaps I’d finally finish those unread books and have deeper conversations. My social world would shrink, but maybe it would become more meaningful. I’d need to be more resourceful, and likely more patient. Life would slow down dramatically, forcing me to live more deliberately, one moment at a time.",yes,5,3,Yes,Maybe
7/25/2025 2:23:17 PM GMT+5:30,30,Male,Postgraduate / PhD,Yes,Once a day,Writing;Research;Brainstorming,3,"There would be difficulties ar first, but with time it will be solved",No,4,9,No,Yes
7/25/2025 1:15:30 PM GMT+5:30,21,Female,Undergraduate,Yes,Once a day,Writing;Coding,3,"Life would be  a choas for a while as we are dependent on it for everyday activity. But after a while when we sit in chaos, we start reflecting on it and we start observing the small things that make life life.",yes,8,10,No,Yes
7/25/2025 4:14:26 PM GMT+5:30,23,Female,Undergraduate,Yes,A few times a week,Research,3,A,yes,3,8,Yes,Yes
7/25/2025 6:23:25 PM GMT+5:30,20,Male,Undergraduate,Yes,Multiple times a day,Brainstorming,3,"This would have a huge impact on anyone in todays generation . We talk to our friends more often on internet than meeting physically . We consume a lot of content either educational , motivational or studies from the Internet . Most of people follow e books or notes rather then studying from bulky books ",No,1,3,Yes,Yes
7/25/2025 3:32:44 PM GMT+5:30,20,Female,Undergraduate,Yes,Multiple times a day,Writing;Research;Brainstorming,4,"If the internet disappeared tomorrow, I’d lose my digital second brain. My calendar, notes, contacts, and even memories live online. I'd have to print things, write more, and organize life with sticky notes again. It would also disrupt how I learn—no tutorials, no quick searches. I’d need to build more human networks for support and information. Work would become slower and less efficient. On the plus side, I might sleep better without screens and focus more on hobbies like painting or cooking. It would be frustrating at first, but I believe I’d gradually rediscover a more grounded way of living.",yes,9,8,No,Yes
7/25/2025 1:51:45 PM GMT+5:30,21,Female,Undergraduate,Yes,Multiple times a day,Research,5,"Someone's who's into digital marketing, it would make much difference in my life but it ain't because of AI much",yes,9,7,No,Maybe
7/25/2025 5:01:14 PM GMT+5:30,25,Female,Undergraduate,Yes,Once a day,Writing;Research;Brainstorming,3,"If the internet disappeared tomorrow, the first thing that would change in my life is ________.
I usually use the internet for ________, so my daily routine would become ________.
Studying or doing homework would be ________ because ________.
I would communicate with friends and family by ________ instead of ________.
At first I would feel ________, but later I might ________.
One good/bad effect of this change would be ________.",yes,5,6,No,Yes
7/25/2025 1:28:06 PM GMT+5:30,18,Female,Undergraduate,Yes,Rarely,Writing;Coding,2,"The thought itself is quite hard to fathom. I believe we are so dependent on the internet currently that atleast 80% of our social lives as well as networking depends on it. I also think due to the availability of the internet it has been easier for us to become aware of current affairs. However, if the internet was to go, i do believe that life might just get a lot greener and healthier.",yes,1,8,No,Maybe
7/25/2025 6:30:12 PM GMT+5:30,20,Male,Undergraduate,Yes,A few times a week,Coding;Brainstorming,2,"My life would become a little different from what it is now. The evolution of technology has made everyone a little dependent on internet for browsing stuff. Sometimes I do become lethargic and depend on AI for completing tasks that require brainstorming. Vanishing of internet, will encourage me to use more of my own ideas and have individuality over my work. However, life would become a little difficult without the existence of internet. ",yes,2,10,No,No
7/25/2025 11:20:13 AM GMT+5:30,19,Female,Undergraduate,Yes,Multiple times a day,Writing;Research;Coding;Brainstorming,5,"If the internet vanished tomorrow, I’d fully spiral, just vibes and silence. Spotify gone. YouTube gone. Chaos.  Sure, maybe I’d touch grass or whatever, but I’d be pissed about it the entire time.
And since, i’m studying tech, not basket weaving. So without the internet?  that takes  forever.Networking? Gone. Keeping up with new tech or skills? Basically impossible. It’s not just about convenience—it’s my entire damn career path. Sure, maybe I’d adapt, but it’d be hard.",yes,5,5,No,Yes
7/25/2025 6:37:37 PM GMT+5:30,19,Female,Undergraduate,Yes,Multiple times a day,Writing;Research;Coding;Academic Work,3,"Life would be  a choas for a while as we are dependent on it for everyday activity. But after a while when we sit in chaos, we start reflecting on it and we start observing the small things that make life life.",No,6,7,Yes,Maybe
7/25/2025 12:17:57 PM GMT+5:30,52,Female,Postgraduate / PhD,Yes,Multiple times a day,Writing;Research;Coding;Brainstorming,3,"In the age of internet everything is on your fingertips which is really convenient but the major blessings and curse is hyperconnectivity, We are connected with each other all the time and that is exactly what is making it tough for us to be creative on our own. History's most Creative People have gone through Boredom to create something truly magnificent yet Boredom is the most evil things seen today in this day and age because of Internet. Internet has truly provided us with huge opportunities in life but it's the very thing that is the cause of a lot of problems in our life, but again, Internet is just a tool, just like weapons, used by the wrong person, it is self destructive, Used by the right person, it is a blessing, so if it disappears tomorrow, a Hyper connectivity would go away, So I will connect with more people and be more creative in my life but convenience would also go away and life would become a lot slower and slower is the exact word, My generation Hates.",yes,4,8,No,Maybe
7/25/2025 12:17:26 PM GMT+5:30,19,Male,Undergraduate,Yes,Multiple times a day,Research;Brainstorming,3,My life would be boring. There will be no reels to watch. There will be peace all around. I wouldn’t be able to do my upi payments. My parents are in other city I will not be able to vedio call them I will also not be able to recieve payments from my dad we will have to use cash which is difficult to handle ,No,5,4,Yes,Yes
7/25/2025 5:19:28 PM GMT+5:30,21,Male,Undergraduate,Yes,A few times a week,Writing,3,Death,yes,3,9,Yes,Yes
7/25/2025 12:59:13 PM GMT+5:30,47,Female,Postgraduate / PhD,Yes,Multiple times a day,Writing,5,"If the internet disappeared tomorrow, my life would change drastically. I rely on it daily for work, communication, entertainment, and even basic tasks like checking the weather or navigating directions. Without it, I’d have to return to more traditional methods—using paper maps, making phone calls, and visiting libraries for information. My work, which depends on online tools and email, would become slower and more limited, requiring face-to-face meetings or phone calls. Staying in touch with friends and family, especially those far away, would become more challenging. I'd likely spend more time outdoors or reading books, but the sudden shift would be overwhelming. Services like online banking, shopping, and news updates would disappear, creating inconveniences in everyday life. Although I might eventually adapt, the loss of instant access to information and global connection would leave a significant void and require a complete restructuring of how I live and interact with the world.",yes,1,10,Yes,Maybe
7/25/2025 6:39:13 PM GMT+5:30,42,Female,Postgraduate / PhD,No,,,5,Death,yes,1,4,Yes,Yes
7/25/2025 5:37:24 PM GMT+5:30,19,Male,Undergraduate,Yes,A few times a week,Writing;Research;Coding;Brainstorming,3,"If internet disappears, life would be a lot at peace, lots of inner reflection, people would actually be with their thoughts and it would encourage creativity which in today’s time most of us have lost. Some of the most creative minds in schools and now just Gpt dependent in their colleges. For me personally, I’d get more time to read proper books than just summaries, ofc it would take time at first but people existed before who didn’t use internet and invented great things. Overall people would be more self aware and grounded and would have to rely on actual work for recognition rather than just being controversial on the internet. ",yes,3,8,Yes,Yes
7/25/2025 1:31:58 PM GMT+5:30,19,Male,Undergraduate,Yes,Multiple times a day,Research,4,"If the internet disappeared tomorrow, I’d lose my digital second brain. My calendar, notes, contacts, and even memories live online. I'd have to print things, write more, and organize life with sticky notes again. It would also disrupt how I learn—no tutorials, no quick searches. I’d need to build more human networks for support and information. Work would become slower and less efficient. On the plus side, I might sleep better without screens and focus more on hobbies like painting or cooking. It would be frustrating at first, but I believe I’d gradually rediscover a more grounded way of living.",yes,1,9,No,Yes
7/25/2025 6:29:44 PM GMT+5:30,25,Female,Graduate,Yes,Multiple times a day,Writing;Research;Coding;Academic Work,2,Seems life too disappeared ,yes,1,3,No,Maybe
7/25/2025 6:42:29 PM GMT+5:30,22,Female,Undergraduate,Yes,A few times a week,Writing;Research;Coding;Brainstorming,1,"Losing the internet would feel like stepping into a different century. I’d have to rethink everything: how I learn, how I communicate, and even how I relax. Online classes, job portals, video calls—they’d all vanish. I’d miss my favorite podcasts and the ability to look up anything on a whim. But perhaps I’d finally finish those unread books and have deeper conversations. My social world would shrink, but maybe it would become more meaningful. I’d need to be more resourceful, and likely more patient. Life would slow down dramatically, forcing me to live more deliberately, one moment at a time.",yes,6,8,Yes,Yes
7/25/2025 12:01:36 PM GMT+5:30,21,Male,Undergraduate,Yes,Multiple times a day,Research,3,If internet disappeared tomorrow I will not be able to do my daily chores that basicallly includes attending my online training course and also my daily phone usage  will get a steep  decrease and I guess my life would really get a sense of boredom,yes,4,5,No,No
7/25/2025 5:51:21 PM GMT+5:30,21,Female,Graduate,Yes,Multiple times a day,Writing;Research,3,"If the internet were to disappear tomorrow i really think my life would drastically change, since i really am just a full time internet scroller. i would have to find new ways to replace the time i spend doomscrolling and basically reinvent myself. All the course work that i do are solely dependent on the internet so that will be a set back. I would basically have no way of knowing what is happening in another person's life ,that's boring. My day to day life is completely dependent on the internet so i think my life would change significantly.",yes,6,10,No,Maybe
